dataset,seed,pipe,M1_nll,M2_mmd,M3_marg_w1,M4_c2st,acc,f1,ece
EEG,42,mean,0.4184265434741974,0.0678841422335801,0.2594716413242711,0.4914472765510616,0.8058608058608059,0.8006832614714918,0.0330798002244206
EEG,42,mean+zscore,0.4202593564987182,0.0678841422335802,0.2594716413242715,0.4914472765510616,0.8083028083028083,0.8030300013020734,0.0312954054938422
EEG,42,mean+winsor,0.4380113780498504,0.0223042723922104,0.1359693455445857,0.4942386334327726,0.7997557997557998,0.7941630806576189,0.0243503099832779
EEG,42,mean+winsor+zscore,0.4423850178718567,0.0223042723922102,0.1359693455445864,0.4942386334327726,0.7985347985347986,0.7933276338549019,0.0289714660982217
EEG,42,mean+yeojohnson,0.5308665633201599,1.0004070004070005,0.7973407187541098,0.4973544973544974,0.778998778998779,0.7690481272425027,0.1275380508512513
EEG,42,mean+yeojohnson+zscore,0.4244573712348938,0.062139918228955,0.2511597775880521,0.4917489239833562,0.7997557997557998,0.7938167751442957,0.0365926477789733
EEG,42,mean+winsor+yeojohnson,0.520633339881897,0.258143790691506,0.61384973025487,0.4885127986471088,0.7814407814407814,0.7740626979442311,0.0980083654215047
EEG,42,mean+winsor+yeojohnson+zscore,0.4458193480968475,0.0210910128353897,0.1605259839261634,0.4943161573198203,0.7948717948717948,0.7886061946902654,0.0225956552049033
EEG,42,mean+quantile,0.4255633354187011,0.0216652741050011,0.026737187859186,0.4941710485056028,0.7997557997557998,0.7951350757742148,0.0182924415456797
EEG,42,mean+quantile+zscore,0.4242418110370636,0.0216652741050011,0.026737187859186,0.4941710485056028,0.796092796092796,0.7911495911495912,0.0219153895046247
EEG,42,mean+winsor+quantile,0.4642371535301208,0.0684385740189267,0.3239657383855451,0.4926990885476844,0.7851037851037851,0.7794614443084456,0.0136288174488314
EEG,42,mean+winsor+quantile+zscore,0.4607715010643005,0.0684385740189268,0.3239657383855451,0.4926990885476844,0.78998778998779,0.784299434059338,0.0171886640299516
EEG,42,median,0.4142489731311798,0.0700016199415111,0.2731347871833596,0.4912912348809785,0.8058608058608059,0.8008429926238145,0.0310428410368233
EEG,42,median+zscore,0.4145557880401611,0.0700016199415115,0.2731347871833598,0.4912912348809785,0.8046398046398047,0.7993483107528726,0.0357175149178184
EEG,42,median+winsor,0.4400214850902557,0.0229964289858917,0.1474027299797729,0.4937590786186634,0.800976800976801,0.7961519961519962,0.0215347009700733
EEG,42,median+winsor+zscore,0.4395616948604584,0.0229964289858918,0.1474027299797729,0.4937590786186634,0.7985347985347986,0.7938082195961152,0.0205900184400788
EEG,42,median+yeojohnson,0.530063271522522,1.0004070004070005,0.7973407187541101,0.4973544973544974,0.7753357753357754,0.7645875251509054,0.1208298496710948
EEG,42,median+yeojohnson+zscore,0.4215461313724518,0.063980667983417,0.2626739640501,0.4913528564322216,0.8083028083028083,0.8031903902580139,0.0171768235199617
EEG,42,median+winsor+yeojohnson,0.5228316187858582,0.384204216850913,0.7065329624814607,0.4897775312915728,0.7667887667887668,0.7570468964767458,0.0978859564032455
EEG,42,median+winsor+yeojohnson+zscore,0.4443379938602447,0.0215638271995197,0.1705133003563512,0.4934430196945459,0.7863247863247863,0.7806262311793148,0.0187410221722827
EEG,42,median+quantile,0.4270270764827728,0.0214707175730971,0.0291935003751937,0.4940567504670068,0.8021978021978022,0.7970042839657283,0.0217386054759788
EEG,42,median+quantile+zscore,0.4255644977092743,0.0214707175730971,0.0291935003751937,0.4940567504670068,0.8021978021978022,0.7970042839657283,0.0191780697003971
EEG,42,median+winsor+quantile,0.4636434614658355,0.0680513753349255,0.3284281826527809,0.4928889226813525,0.7814407814407814,0.7746669597308319,0.0128990571140806
EEG,42,median+winsor+quantile+zscore,0.4586084485054016,0.0680513753349255,0.3284281826527809,0.4928889226813525,0.7777777777777778,0.7717587034813926,0.0155336105052076
EEG,42,knn,0.3076050877571106,0.0824992780495535,0.2385815135550242,0.495116243589992,0.8644688644688645,0.861791065198057,0.0128105485832298
EEG,42,knn+zscore,0.3082667887210846,0.0824992780495531,0.238581513555024,0.495116243589992,0.873015873015873,0.870726080621661,0.0135411398896949
EEG,42,knn+winsor,0.3283922374248504,0.037111238345912,0.1174888304622065,0.495615676323857,0.8547008547008547,0.8517263675158412,0.0095511762213794
EEG,42,knn+winsor+zscore,0.3292059600353241,0.0371112383459123,0.1174888304622062,0.495615676323857,0.8595848595848596,0.856908891748466,0.0086791831204014
EEG,42,knn+yeojohnson,0.4575749039649963,1.0004070004070005,0.7973407187541096,0.4973544973544974,0.8449328449328449,0.8407973220558456,0.1608973050146603
EEG,42,knn+yeojohnson+zscore,0.3125927746295929,0.0760001670434383,0.22702412812634,0.4950918931382912,0.873015873015873,0.8705516176488468,0.0094939287620003
EEG,42,knn+winsor+yeojohnson,0.4648848474025726,1.0004070004070005,0.7973407187540982,0.4973544973544974,0.8388278388278388,0.8344623563711199,0.1555157971906138
